en,zh,assigned_domain,confidence,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,annotation
amenity,使人舒適、愉快的性質或事物,civil,1.0,tenantable [civil] sim=0.699,tenant [civil] sim=0.698,appurtenant [civil] sim=0.671,landlord [civil] sim=0.669,co-tenant [civil] sim=0.664,nuisance [civil] sim=0.663,easement [civil] sim=0.655,
annuity,年金,civil,1.0,alimony [civil] sim=0.662,beneficiary [civil] sim=0.660,testamentary [civil] sim=0.652,inheritance [civil] sim=0.648,intestate [civil] sim=0.645,indemnity [civil] sim=0.637,mortgage [civil] sim=0.625,
assured,受保的,civil,1.0,surety [civil] sim=0.781,suretyship [civil] sim=0.748,pledged [civil] sim=0.717,pledge [civil] sim=0.680,co-surety [civil] sim=0.670,mortgaged [civil] sim=0.661,tenantable [civil] sim=0.659,
banker's books,銀行簿冊,civil,1.0,testamentary [civil] sim=0.607,mortgagee [civil] sim=0.605,mortgage [civil] sim=0.596,mortgaged [civil] sim=0.588,trustee [civil] sim=0.585,pre-contractual document [civil] sim=0.582,Official Trustee [civil] sim=0.578,
bequeath,遺贈,civil,1.0,intestate [civil] sim=0.756,inheritance [civil] sim=0.743,testamentary [civil] sim=0.729,restitution [civil] sim=0.724,beneficiary [civil] sim=0.721,restitutionary [civil] sim=0.716,trusteeship [civil] sim=0.708,
bequest,無效的遺贈,civil,1.0,inheritance [civil] sim=0.745,intestate [civil] sim=0.706,beneficiary [civil] sim=0.695,testamentary [civil] sim=0.689,trusteeship [civil] sim=0.669,trustee [civil] sim=0.665,pledged [civil] sim=0.664,
bonded warehouse,保稅倉,civil,1.0,sub-tenant [civil] sim=0.661,surety [civil] sim=0.652,leased [civil] sim=0.650,tenantable [civil] sim=0.650,suretyship [civil] sim=0.649,tenant [civil] sim=0.642,co-tenant [civil] sim=0.637,
borrower,借款人,civil,1.0,beneficiary [civil] sim=0.767,guarantor [civil] sim=0.755,mortgagee [civil] sim=0.752,tenant [civil] sim=0.733,mortgaged [civil] sim=0.731,leaseholder [civil] sim=0.730,mortgage [civil] sim=0.714,
bridge loan,過渡性貸款,civil,1.0,sub-mortgage [civil] sim=0.695,mortgage [civil] sim=0.688,re-mortgage [civil] sim=0.674,mortgagee [civil] sim=0.651,trusteeship [civil] sim=0.644,mortgaged [civil] sim=0.629,leasehold [civil] sim=0.622,
cohabitee,同居者,civil,1.0,co-tenant [civil] sim=0.770,tenant [civil] sim=0.734,divorcement [civil] sim=0.708,bailment [civil] sim=0.706,tenantable [civil] sim=0.702,landlord [civil] sim=0.695,sublease [civil] sim=0.685,
consanguineous,同父異母的 ※比較 uterine,civil,1.0,intestate [civil] sim=0.638,inheritance [civil] sim=0.627,testamentary [civil] sim=0.621,adoption [civil] sim=0.618,testation [civil] sim=0.616,distorted [civil] sim=0.614,de bonis testatoris ac si [civil] sim=0.613,
consequential damages,相應而生的損害賠償,civil,1.0,inadvertent negligence [civil] sim=0.715,contributory negligence [civil] sim=0.713,on indemnity basis [civil] sim=0.705,negligence [civil] sim=0.699,negligent misrepresentation [civil] sim=0.699,advertent negligence [civil] sim=0.690,repudiatory breach of contract [civil] sim=0.686,
continuous residence,連續居住,civil,1.0,tenant [civil] sim=0.704,tenantable [civil] sim=0.696,co-tenant [civil] sim=0.691,sub-tenant [civil] sim=0.674,without interruption by the landlord [civil] sim=0.667,leaseholder [civil] sim=0.660,landlord [civil] sim=0.650,
conveyance,轉讓,civil,1.0,leasehold [civil] sim=0.720,easement [civil] sim=0.716,intestate [civil] sim=0.715,inheritance [civil] sim=0.714,trusteeship [civil] sim=0.697,tortious [civil] sim=0.690,suretyship [civil] sim=0.688,
conveyancing,物業轉易,civil,1.0,leasehold [civil] sim=0.773,probate [civil] sim=0.713,suretyship [civil] sim=0.706,inheritance [civil] sim=0.699,easement [civil] sim=0.695,landlord [civil] sim=0.692,solicitor-trustee [civil] sim=0.691,
counterparty,對手方,civil,1.0,executory [civil] sim=0.685,testamentary [civil] sim=0.681,contractual [civil] sim=0.674,guarantor [civil] sim=0.668,tenant [civil] sim=0.665,executorship [civil] sim=0.665,beneficiary [civil] sim=0.662,
creditor,債權人,civil,1.0,guarantor [civil] sim=0.725,ex-tenant [civil] sim=0.710,executor [civil] sim=0.706,testamentary [civil] sim=0.703,beneficiary [civil] sim=0.701,leaseholder [civil] sim=0.701,mortgagee [civil] sim=0.699,
de bene esse,暫先處理,civil,1.0,pledgee [civil] sim=0.666,beneficiary [civil] sim=0.662,die intestate [civil] sim=0.658,de bonis testatoris ac si [civil] sim=0.655,de son tort [civil] sim=0.651,trespass quare clausum fregit [civil] sim=0.634,trespass de bonis asportatis [civil] sim=0.633,
debenture,再發行債權證,civil,1.0,testamentary [civil] sim=0.727,leasehold [civil] sim=0.717,mortgagee [civil] sim=0.712,trustee [civil] sim=0.698,pledge [civil] sim=0.698,pledgee [civil] sim=0.693,restitutionary [civil] sim=0.692,
debtor,恢復債務人業務,civil,1.0,guarantor [civil] sim=0.738,leaseholder [civil] sim=0.729,testamentary [civil] sim=0.725,ex-tenant [civil] sim=0.718,tenant [civil] sim=0.716,executor [civil] sim=0.708,beneficiary [civil] sim=0.706,
defalcation,虧空,civil,1.0,distort [civil] sim=0.717,distortion [civil] sim=0.696,distorted [civil] sim=0.692,testation [civil] sim=0.688,restitution [civil] sim=0.657,intestate [civil] sim=0.655,restitutionary [civil] sim=0.654,
del credere,（對買方）支付能力的保證,civil,1.0,pledgee [civil] sim=0.610,die intestate [civil] sim=0.607,de bonis testatoris ac si [civil] sim=0.599,testamentary [civil] sim=0.597,intestate [civil] sim=0.591,mortgaged [civil] sim=0.589,pledged [civil] sim=0.583,
depreciation,貶值,civil,1.0,restitution [civil] sim=0.681,inheritance [civil] sim=0.669,leasehold [civil] sim=0.652,mortgage [civil] sim=0.649,restitutionary [civil] sim=0.647,divorce [civil] sim=0.643,divorcement [civil] sim=0.635,
devasta,怠忽管理遺產〔未能從速妥善管理遺產〕,civil,1.0,testation [civil] sim=0.620,distort [civil] sim=0.605,tort [civil] sim=0.598,restitutionary [civil] sim=0.597,testate [civil] sim=0.595,pledge [civil] sim=0.592,pledgee [civil] sim=0.592,
devest,剝奪權益,civil,1.0,testate [civil] sim=0.657,distort [civil] sim=0.654,testation [civil] sim=0.624,distorted [civil] sim=0.608,die intestate [civil] sim=0.604,intestate [civil] sim=0.599,distortion [civil] sim=0.597,
dominant tenement,需役地 ※比較 servient tenement,civil,1.0,tenant [civil] sim=0.704,landlord [civil] sim=0.692,sub-tenant [civil] sim=0.680,co-tenant [civil] sim=0.674,tenantable [civil] sim=0.674,without interruption by the landlord [civil] sim=0.647,leaseholder [civil] sim=0.645,
earlier trade mark,在先商標,civil,1.0,patented [civil] sim=0.663,patent [civil] sim=0.655,intellectual property [civil] sim=0.652,pre-contractual document [civil] sim=0.649,misrepresentation [civil] sim=0.627,Letters Patent [civil] sim=0.622,past consideration [civil] sim=0.619,
early determination of a tenancy,提前終止租賃,civil,1.0,landlord [civil] sim=0.739,tenant [civil] sim=0.732,under-lease [civil] sim=0.716,leaseholder [civil] sim=0.706,co-tenant [civil] sim=0.704,sub-tenant [civil] sim=0.693,leasehold [civil] sim=0.692,
early repayment,提早還款,civil,1.0,sub-mortgage [civil] sim=0.691,re-mortgage [civil] sim=0.656,sublease [civil] sim=0.656,mortgage [civil] sim=0.646,leaseback [civil] sim=0.638,radical breach of contract [civil] sim=0.634,mortgaged [civil] sim=0.634,
estate,房地產權利,civil,1.0,intestate [civil] sim=0.812,inheritance [civil] sim=0.803,probate [civil] sim=0.748,die intestate [civil] sim=0.738,easement [civil] sim=0.715,succession [civil] sim=0.715,testamentary [civil] sim=0.711,
floor plan,樓面平面圖,civil,1.0,landlord [civil] sim=0.692,co-tenant [civil] sim=0.683,tenant [civil] sim=0.670,sublease [civil] sim=0.665,sub-tenant [civil] sim=0.659,under-lease [civil] sim=0.657,sitting tenant [civil] sim=0.655,
foreclose,止贖 ※比較 redeem up,civil,1.0,mortgaged [civil] sim=0.713,sublease [civil] sim=0.687,ex-tenant [civil] sim=0.682,mortgage [civil] sim=0.680,re-mortgage [civil] sim=0.679,leased [civil] sim=0.668,mortgagee [civil] sim=0.667,
full,充分,civil,1.0,unleased [civil] sim=0.704,pledged [civil] sim=0.686,mortgaged [civil] sim=0.674,beneficiary [civil] sim=0.674,unpatented [civil] sim=0.673,distorted [civil] sim=0.672,leased [civil] sim=0.668,
grantor,讓與人,civil,1.0,guarantor [civil] sim=0.755,trustee [civil] sim=0.748,patentee [civil] sim=0.740,beneficiary [civil] sim=0.737,leaseholder [civil] sim=0.720,appurtenant [civil] sim=0.716,trusteeship [civil] sim=0.713,
guardianship,監護,civil,1.0,trusteeship [civil] sim=0.778,probate [civil] sim=0.714,trustee [civil] sim=0.712,suretyship [civil] sim=0.711,legal custody [civil] sim=0.709,testamentary [civil] sim=0.699,solicitor-trustee [civil] sim=0.695,
householder,户主,civil,1.0,tenant [civil] sim=0.735,landlord [civil] sim=0.732,leaseholder [civil] sim=0.699,testamentary [civil] sim=0.684,appurtenant [civil] sim=0.682,fiduciary [civil] sim=0.678,trustee [civil] sim=0.678,
immediate possession,直接管有,civil,1.0,trespass quare clausum fregit [civil] sim=0.717,tenant [civil] sim=0.716,leaseholder [civil] sim=0.713,intestate [civil] sim=0.713,ex-tenant [civil] sim=0.710,trespass on the case [civil] sim=0.706,trespass [civil] sim=0.703,
in escrow,暫託,civil,1.0,suretyship [civil] sim=0.738,co-surety [civil] sim=0.709,mortgaged [civil] sim=0.709,surety [civil] sim=0.706,co-tenant [civil] sim=0.697,contractually [civil] sim=0.692,sub-tenant [civil] sim=0.690,
indebtedness,債項,civil,1.0,indemnity [civil] sim=0.716,testamentary [civil] sim=0.714,on indemnity basis [civil] sim=0.692,restitution [civil] sim=0.687,restitutionary [civil] sim=0.686,intestate [civil] sim=0.684,mortgaged [civil] sim=0.683,
insolvency,針對無力償債的法律程序,civil,1.0,divorce [civil] sim=0.718,probate [civil] sim=0.697,radical breach of contract [civil] sim=0.689,restitution [civil] sim=0.684,leasehold [civil] sim=0.681,negligence [civil] sim=0.674,mortgage [civil] sim=0.670,
interbank rate,銀行同業拆息率,civil,1.0,mortgage [civil] sim=0.639,sub-mortgage [civil] sim=0.596,mortgagee [civil] sim=0.584,inter vivos [civil] sim=0.581,re-mortgage [civil] sim=0.574,underlease [civil] sim=0.564,mortgaged [civil] sim=0.564,
lease,租賃,civil,1.0,leased [civil] sim=0.926,leasehold [civil] sim=0.868,leaseholder [civil] sim=0.833,sub-lease [civil] sim=0.822,leaseback [civil] sim=0.815,under-lease [civil] sim=0.808,tenant [civil] sim=0.798,
legacy,遺贈,civil,1.0,inheritance [civil] sim=0.777,succession [civil] sim=0.765,intestate [civil] sim=0.717,testamentary [civil] sim=0.702,executory [civil] sim=0.682,beneficiary [civil] sim=0.680,die intestate [civil] sim=0.670,
lender,貸款人,civil,1.0,mortgagee [civil] sim=0.830,guarantor [civil] sim=0.793,mortgage [civil] sim=0.763,beneficiary [civil] sim=0.752,mortgaged [civil] sim=0.737,fiduciary [civil] sim=0.731,testamentary [civil] sim=0.723,
lessee,租用人,civil,1.0,tenant [civil] sim=0.839,landlord [civil] sim=0.809,leaseholder [civil] sim=0.809,sub-tenant [civil] sim=0.799,co-tenant [civil] sim=0.786,leased [civil] sim=0.761,guarantor [civil] sim=0.748,
lessor,出租人,civil,1.0,tenant [civil] sim=0.823,landlord [civil] sim=0.798,leaseholder [civil] sim=0.790,sub-tenant [civil] sim=0.774,guarantor [civil] sim=0.773,co-tenant [civil] sim=0.748,leased [civil] sim=0.745,
lien,海上留置權,civil,1.0,testamentary [civil] sim=0.762,leasehold [civil] sim=0.714,intestate [civil] sim=0.711,beneficiary [civil] sim=0.698,inheritance [civil] sim=0.695,contractual [civil] sim=0.694,guarantor [civil] sim=0.693,
loan,貸款,civil,1.0,mortgage [civil] sim=0.818,leasehold [civil] sim=0.715,mortgaged [civil] sim=0.706,leased [civil] sim=0.703,re-mortgage [civil] sim=0.703,mortgagee [civil] sim=0.698,sub-mortgage [civil] sim=0.696,
mortgagor,按揭人,civil,1.0,guarantor [civil] sim=0.788,mortgagee [civil] sim=0.787,leaseholder [civil] sim=0.773,tenant [civil] sim=0.762,landlord [civil] sim=0.757,mortgaged [civil] sim=0.732,fiduciary [civil] sim=0.719,
movable property,動產,civil,1.0,tenantable [civil] sim=0.702,tenant [civil] sim=0.675,landlord [civil] sim=0.671,sitting tenant [civil] sim=0.653,co-tenant [civil] sim=0.641,ex-tenant [civil] sim=0.641,leaseholder [civil] sim=0.640,
neighbouring premises,鄰近處所,civil,1.0,co-tenant [civil] sim=0.769,sub-tenant [civil] sim=0.722,tenant [civil] sim=0.716,landlord [civil] sim=0.696,sitting tenant [civil] sim=0.692,nuisance [civil] sim=0.671,ex-tenant [civil] sim=0.670,
nominee shareholder,代名人股東,civil,1.0,trustee [civil] sim=0.721,co-trustee [civil] sim=0.699,solicitor-trustee [civil] sim=0.696,Official Trustee [civil] sim=0.689,succession [civil] sim=0.662,beneficiary [civil] sim=0.658,sub-tenant [civil] sim=0.648,
notary public,公證人,civil,1.0,testamentary [civil] sim=0.705,surety [civil] sim=0.695,suretyship [civil] sim=0.679,attestation [civil] sim=0.666,appurtenant [civil] sim=0.663,solicitor-trustee [civil] sim=0.662,Official Trustee [civil] sim=0.662,
parcel,地段,civil,1.0,leasehold [civil] sim=0.686,beneficiary [civil] sim=0.677,executory [civil] sim=0.672,testamentary [civil] sim=0.672,intestate [civil] sim=0.670,tenant [civil] sim=0.661,bailment [civil] sim=0.657,
pecuniary bequest,金錢遺贈,civil,1.0,beneficiary [civil] sim=0.692,intestate [civil] sim=0.667,testamentary [civil] sim=0.666,inheritance [civil] sim=0.648,fiduciary [civil] sim=0.646,executorship [civil] sim=0.640,restitutionary [civil] sim=0.636,
property,物業,civil,1.0,tenant [civil] sim=0.728,leasehold [civil] sim=0.727,landlord [civil] sim=0.721,leased [civil] sim=0.715,patent [civil] sim=0.707,mortgage [civil] sim=0.703,tenantable [civil] sim=0.694,
proprietary,所有權的,civil,1.0,patented [civil] sim=0.764,patent [civil] sim=0.711,patentable [civil] sim=0.710,leased [civil] sim=0.707,contractual [civil] sim=0.700,intellectual property [civil] sim=0.691,patentability [civil] sim=0.688,
protected tenancy,受保障租賃,civil,1.0,landlord [civil] sim=0.749,tenant [civil] sim=0.744,sub-tenant [civil] sim=0.739,co-tenant [civil] sim=0.718,leaseholder [civil] sim=0.717,leasehold [civil] sim=0.714,Tenants Purchase Scheme [civil] sim=0.711,
punitive damages,懲罰性損害賠償,civil,1.0,inadvertent negligence [civil] sim=0.707,restitution [civil] sim=0.687,negligent misrepresentation [civil] sim=0.676,contributory negligence [civil] sim=0.676,tortious [civil] sim=0.671,negligence [civil] sim=0.668,advertent negligence [civil] sim=0.666,
quiet possession,安寧地享有…的管有,civil,1.0,nuisance [civil] sim=0.695,without interruption by the landlord [civil] sim=0.694,trespass on the case [civil] sim=0.688,non-contentious probate [civil] sim=0.677,sitting tenant [civil] sim=0.662,trespass [civil] sim=0.661,trespasser [civil] sim=0.657,
rack rent,特別高昂的租金,civil,1.0,landlord [civil] sim=0.742,tenant [civil] sim=0.729,tenantable [civil] sim=0.725,under-lease [civil] sim=0.701,sub-tenant [civil] sim=0.696,co-tenant [civil] sim=0.691,leased [civil] sim=0.691,
receivables,變動保證金應收項目,civil,1.0,restitution [civil] sim=0.689,restitutionary [civil] sim=0.677,executory [civil] sim=0.676,testamentary [civil] sim=0.658,suretyship [civil] sim=0.656,executorship [civil] sim=0.652,repudiatory breach of contract [civil] sim=0.650,
rent,租金,civil,1.0,landlord [civil] sim=0.825,leased [civil] sim=0.774,tenant [civil] sim=0.773,sublease [civil] sim=0.745,under-lease [civil] sim=0.738,tenantable [civil] sim=0.730,co-tenant [civil] sim=0.724,
rentcharge,租費,civil,1.0,landlord [civil] sim=0.754,tenant [civil] sim=0.707,under-lease [civil] sim=0.687,co-tenant [civil] sim=0.683,sub-lease [civil] sim=0.680,sub-tenant [civil] sim=0.679,leased [civil] sim=0.669,
repayment,付還,civil,1.0,beneficiary [civil] sim=0.724,restitution [civil] sim=0.705,mortgage [civil] sim=0.701,mortgaged [civil] sim=0.698,testamentary [civil] sim=0.696,restitutionary [civil] sim=0.696,trusteeship [civil] sim=0.691,
residential,作住所用的,civil,1.0,tenant [civil] sim=0.756,leased [civil] sim=0.706,sub-tenant [civil] sim=0.705,co-tenant [civil] sim=0.703,landlord [civil] sim=0.703,tenantable [civil] sim=0.701,contractual [civil] sim=0.683,
resulting trust,歸復信託,civil,1.0,trusteeship [civil] sim=0.709,trustee [civil] sim=0.707,co-trustee [civil] sim=0.704,solicitor-trustee [civil] sim=0.704,beneficiary [civil] sim=0.688,suretyship [civil] sim=0.685,subrogation [civil] sim=0.681,
short-term tenancy,短期租賃,civil,1.0,sub-tenant [civil] sim=0.776,tenant [civil] sim=0.773,landlord [civil] sim=0.767,co-tenant [civil] sim=0.754,sub-lease [civil] sim=0.744,under-lease [civil] sim=0.738,leaseholder [civil] sim=0.727,
subcontract,分包合約,civil,1.0,sub-lease [civil] sim=0.820,sub-tenant [civil] sim=0.812,sub-mortgage [civil] sim=0.775,sublease [civil] sim=0.758,contractual [civil] sim=0.738,co-tenant [civil] sim=0.726,subrogation [civil] sim=0.726,
