en,zh,k_en,k_zh,k_min,assigned_domain,confidence,vote_breakdown
executorship expenses,遺囑執行費用,0,0,0,civil,0.4286,"{""administrative"": 2, ""labor_social"": 2, ""civil"": 3}"
executory,待執行,0,2,0,civil,0.7143,"{""civil"": 5, ""labor_social"": 2}"
ex-tenant,前租客,0,8,0,civil,0.7143,"{""civil"": 5, ""administrative"": 1, ""criminal"": 1}"
extraterritoriality,領事裁判權,0,0,0,international,0.5714,"{""international"": 4, ""constitutional"": 1, ""criminal"": 1, ""procedure"": 1}"
forum non conveniens,不便審理的法院,0,0,0,administrative,0.2857,"{""administrative"": 2, ""criminal"": 2, ""international"": 1, ""procedure"": 2}"
franchise,專營,8,8,8,civil,0.4286,"{""civil"": 3, ""labor_social"": 3, ""constitutional"": 1}"
in camera,在法官私室,8,0,0,procedure,0.4286,"{""procedure"": 3, ""administrative"": 2, ""labor_social"": 2}"
inadvertent negligence,無心的疏忽,0,0,0,criminal,0.7143,"{""criminal"": 5, ""civil"": 2}"
inchoate,不完整,1,8,1,criminal,0.4286,"{""criminal"": 3, ""administrative"": 1, ""labor_social"": 2, ""international"": 1}"
indemnity,彌償法律程序,8,0,0,labor_social,0.4286,"{""criminal"": 1, ""labor_social"": 3, ""administrative"": 1, ""civil"": 2}"
innocent misrepresentation,無意的失實陳述,0,0,0,criminal,0.5714,"{""civil"": 2, ""criminal"": 4, ""procedure"": 1}"
inter vivos,生者之間的贈予,8,3,3,international,0.5714,"{""procedure"": 1, ""international"": 4, ""labor_social"": 1, ""administrative"": 1}"
interest-based mediation,兼顧各方利益的調解,0,0,0,procedure,0.7143,"{""procedure"": 5, ""administrative"": 1, ""international"": 1}"
intestate,未留遺囑的死者,8,0,0,civil,0.8571,"{""civil"": 6, ""criminal"": 1}"
joinder,合併控罪,8,0,0,civil,0.4286,"{""procedure"": 1, ""civil"": 3, ""constitutional"": 2, ""labor_social"": 1}"
jus cogens,強制性法則,0,0,0,procedure,0.5714,"{""procedure"": 4, ""civil"": 3}"
leaseback,售出物業後租回原物業,1,0,0,civil,0.7143,"{""civil"": 5, ""administrative"": 1, ""labor_social"": 1}"
leaseholder,批租契持有人,2,0,0,civil,1.0,"{""civil"": 7}"
Letters Patent,英皇制誥,4,4,4,civil,0.4286,"{""civil"": 3, ""procedure"": 3, ""administrative"": 1}"
live pledge,活質押,0,0,0,constitutional,0.2857,"{""procedure"": 1, ""constitutional"": 2, ""administrative"": 1, ""labor_social"": 2, ""civil"": 1}"
locus standi,出庭資格,0,0,0,civil,0.4286,"{""civil"": 3, ""labor_social"": 1, ""international"": 1, ""constitutional"": 1, ""procedure"": 1}"
misjoinder,錯誤參與訴訟,4,0,0,civil,0.4286,"{""civil"": 3, ""criminal"": 2, ""international"": 1, ""labor_social"": 1}"
mispleading,狀書中的錯誤,0,0,0,criminal,0.8571,"{""civil"": 1, ""criminal"": 6}"
mortgage,有關按揭的申索,8,0,0,civil,0.4286,"{""civil"": 3, ""labor_social"": 3, ""criminal"": 1}"
naturalization,入籍,3,1,1,constitutional,0.5714,"{""constitutional"": 4, ""international"": 2, ""labor_social"": 1}"
Nemo judex in causa sua,任何人不得成為自己案件的法官,0,0,0,procedure,0.5714,"{""procedure"": 4, ""constitutional"": 1, ""criminal"": 2}"
non-contentious probate,無爭議遺囑認證,2,0,0,procedure,0.7143,"{""administrative"": 1, ""procedure"": 5, ""civil"": 1}"
non-disclosure,不予披露,8,2,2,procedure,0.2857,"{""procedure"": 2, ""administrative"": 2, ""criminal"": 2, ""civil"": 1}"
non-probate,非憑遺囑處置,0,0,0,civil,0.5714,"{""international"": 1, ""administrative"": 2, ""civil"": 4}"
novation,債務或合約義務的更替,2,0,0,constitutional,0.2857,"{""constitutional"": 2, ""administrative"": 2, ""civil"": 2, ""international"": 1}"
nuisance,消除滋擾,8,0,0,criminal,0.2857,"{""labor_social"": 1, ""administrative"": 1, ""criminal"": 2, ""procedure"": 2, ""international"": 1}"
pacta sunt servanda,有約必守,0,0,0,civil,0.5714,"{""international"": 2, ""labor_social"": 1, ""civil"": 4}"
palimony,給予前同居者的生活費,0,0,0,criminal,0.5714,"{""civil"": 2, ""criminal"": 4, ""labor_social"": 1}"
patented,受專利權保護,8,0,0,civil,0.5714,"{""civil"": 4, ""administrative"": 1, ""procedure"": 1, ""labor_social"": 1}"
Patents Court,專利案件法庭,0,0,0,procedure,0.5714,"{""civil"": 2, ""procedure"": 4, ""constitutional"": 1}"
penal,刑罰方面,7,2,2,criminal,1.0,"{""criminal"": 7}"
pleading,要求作出損害賠償的狀書,8,0,0,procedure,0.7143,"{""criminal"": 1, ""procedure"": 5, ""administrative"": 1}"
pledge,活質押,8,0,0,civil,0.2857,"{""civil"": 2, ""international"": 2, ""procedure"": 1, ""labor_social"": 1, ""constitutional"": 1}"
pledgee,承押人,2,3,2,civil,0.5714,"{""civil"": 4, ""criminal"": 1, ""international"": 1, ""procedure"": 1}"
prerogative,君主特權令狀,1,0,0,procedure,0.4286,"{""procedure"": 3, ""constitutional"": 2, ""criminal"": 1, ""labor_social"": 1}"
probate,遺產辦理,8,0,0,civil,0.7143,"{""civil"": 5, ""administrative"": 1, ""procedure"": 1}"
protocol,條約等的草案,8,0,0,international,0.4286,"{""international"": 3, ""administrative"": 1, ""constitutional"": 1, ""procedure"": 2}"
radical breach of contract,徹底違約,0,0,0,criminal,0.4286,"{""labor_social"": 1, ""criminal"": 3, ""civil"": 2, ""administrative"": 1}"
reconciliation,和解期,8,0,0,procedure,0.5714,"{""procedure"": 4, ""criminal"": 1, ""civil"": 1, ""international"": 1}"
rejoinder,被告對原告的第二次答辯,0,0,0,procedure,0.8571,"{""procedure"": 6, ""administrative"": 1}"
re-mortgage,再抵押,0,1,0,civil,0.8571,"{""civil"": 6, ""labor_social"": 1}"
reprobation,反對證人的資格、證供等,0,0,0,criminal,0.4286,"{""criminal"": 3, ""administrative"": 1, ""procedure"": 2, ""civil"": 1}"
republication of a will,恢復已撤銷的遺囑,0,0,0,civil,0.4286,"{""civil"": 3, ""procedure"": 2, ""administrative"": 1, ""constitutional"": 1}"
res judicata,既判案件,0,0,0,procedure,0.4286,"{""procedure"": 3, ""criminal"": 1, ""constitutional"": 2, ""civil"": 1}"
sitting tenant,現時租客,1,0,0,civil,0.7143,"{""civil"": 5, ""labor_social"": 1, ""criminal"": 1}"
sovereign state,主權國,1,8,1,constitutional,0.7143,"{""constitutional"": 5, ""administrative"": 1, ""procedure"": 1}"
subpoena,傳召證人出庭令,8,1,1,procedure,0.5714,"{""criminal"": 3, ""procedure"": 4}"
subpoena ad respondendum,傳召到庭答辯令狀,1,1,1,procedure,0.5714,"{""criminal"": 2, ""procedure"": 4, ""administrative"": 1}"
subpoena duces tecum,着令攜帶文件出庭的傳召出庭令狀,8,6,6,procedure,0.5714,"{""procedure"": 4, ""criminal"": 2, ""administrative"": 1}"
suffrage,普選,1,0,0,constitutional,1.0,"{""constitutional"": 7}"
surety,守行為擔保人,8,0,0,civil,0.2857,"{""civil"": 2, ""procedure"": 1, ""international"": 2, ""administrative"": 1, ""criminal"": 1}"
surrejoinder,原告的第二次辯駁,0,0,0,labor_social,0.4286,"{""labor_social"": 3, ""civil"": 2, ""administrative"": 1, ""international"": 1}"
sympathetic consideration,體恤處理,0,0,0,civil,0.2857,"{""civil"": 2, ""labor_social"": 1, ""procedure"": 2, ""criminal"": 2}"
tenant,退租租户,8,0,0,civil,0.8571,"{""civil"": 6, ""labor_social"": 1}"
tenantable,處於良好的可租用狀況,0,0,0,civil,0.7143,"{""civil"": 5, ""labor_social"": 1, ""procedure"": 1}"
testate,按遺囑處理,1,0,0,procedure,0.8571,"{""procedure"": 6, ""civil"": 1}"
testation,以遺囑處置財產,0,0,0,procedure,0.4286,"{""procedure"": 3, ""administrative"": 1, ""criminal"": 1, ""civil"": 1, ""international"": 1}"
testatrix,女立遺囑人,0,0,0,constitutional,0.4286,"{""constitutional"": 3, ""procedure"": 2, ""criminal"": 1, ""labor_social"": 1}"
tortfeasor,侵權行為者,6,0,0,civil,0.5714,"{""civil"": 4, ""criminal"": 1, ""international"": 1, ""procedure"": 1}"
torture,酷刑,8,8,8,criminal,0.8571,"{""criminal"": 6, ""labor_social"": 1}"
trespass de bonis asportatis,侵害動產行為,0,0,0,criminal,0.7143,"{""civil"": 1, ""criminal"": 5, ""procedure"": 1}"
trespass quare clausum fregit,侵入土地,0,0,0,criminal,0.7143,"{""criminal"": 5, ""procedure"": 1, ""civil"": 1}"
trespass vi,對人或對物的侵犯,0,0,0,criminal,0.5714,"{""criminal"": 4, ""civil"": 1, ""procedure"": 1, ""international"": 1}"
trespasser,對土地全無權益的闖入者,8,0,0,criminal,0.8571,"{""criminal"": 6, ""labor_social"": 1}"
ultra vires,越權,0,5,0,civil,0.2857,"{""labor_social"": 1, ""civil"": 2, ""procedure"": 1, ""constitutional"": 1, ""international"": 2}"
unconstitutional,不合憲法,0,0,0,criminal,0.7143,"{""criminal"": 5, ""civil"": 2}"
underlease,分租約,8,0,0,administrative,0.4286,"{""criminal"": 1, ""labor_social"": 2, ""procedure"": 1, ""administrative"": 3}"
unleased land,未批租土地,8,8,8,civil,0.5714,"{""civil"": 4, ""constitutional"": 1, ""administrative"": 1, ""criminal"": 1}"
unpatented,未受專利權保護,0,0,0,international,0.2857,"{""international"": 2, ""criminal"": 2, ""constitutional"": 1, ""procedure"": 1, ""labor_social"": 1}"
unskilled labour,非技術勞工,0,0,0,labor_social,0.8571,"{""labor_social"": 6, ""civil"": 1}"
veto,否決,3,8,3,constitutional,0.5714,"{""criminal"": 1, ""constitutional"": 4, ""administrative"": 2}"
Wednesbury principles,韋恩斯伯里原則,0,0,0,administrative,0.4286,"{""administrative"": 3, ""constitutional"": 1, ""civil"": 1, ""procedure"": 1, ""international"": 1}"
tortious act,侵權行為,2,8,2,criminal,0.7143,"{""constitutional"": 1, ""criminal"": 5, ""civil"": 1}"
class action,集體訴訟,0,0,0,procedure,0.5714,"{""administrative"": 1, ""procedure"": 4, ""civil"": 1, ""labor_social"": 1}"
industrial action,工業行動,2,2,2,labor_social,0.8571,"{""labor_social"": 6, ""international"": 1}"
self-proving affidavit,遺囑確認誓章,0,0,0,procedure,0.8571,"{""procedure"": 6, ""criminal"": 1}"
on indemnity basis,按彌償基準,0,8,0,labor_social,0.4286,"{""labor_social"": 3, ""civil"": 2, ""administrative"": 1, ""procedure"": 1}"
repudiatory breach of contract,廢除性違約,0,0,0,civil,0.2857,"{""administrative"": 1, ""labor_social"": 1, ""civil"": 2, ""criminal"": 2, ""procedure"": 1}"
trespass on the case,侵權訴訟,0,0,0,criminal,0.7143,"{""procedure"": 1, ""civil"": 1, ""criminal"": 5}"
testatum clause,契據正文的開始條款,0,0,0,procedure,0.2857,"{""procedure"": 2, ""administrative"": 1, ""civil"": 2, ""labor_social"": 1, ""constitutional"": 1}"
past consideration,以過去的事物作為代價,0,0,0,procedure,0.5714,"{""procedure"": 4, ""constitutional"": 2, ""administrative"": 1}"
may it please the court,請法庭……,0,0,0,procedure,0.5714,"{""procedure"": 4, ""constitutional"": 1, ""criminal"": 2}"
curtilage covenant,工地範圍契諾,0,0,0,civil,0.5714,"{""civil"": 4, ""international"": 1, ""labor_social"": 1, ""procedure"": 1}"
restrictive covenant,限制性契諾,0,0,0,civil,0.4286,"{""labor_social"": 1, ""civil"": 3, ""criminal"": 1, ""international"": 2}"
pre-claim disclosure,申索前的披露,0,0,0,procedure,0.5714,"{""procedure"": 4, ""labor_social"": 2, ""civil"": 1}"
staged disclosure,分階段披露,0,0,0,procedure,0.4286,"{""procedure"": 3, ""civil"": 1, ""criminal"": 2, ""administrative"": 1}"
pre-contractual document,訂約前文件,0,0,0,civil,0.4286,"{""labor_social"": 2, ""civil"": 3, ""international"": 1, ""procedure"": 1}"
eminent domain,國家徵用權,0,0,0,civil,0.7143,"{""civil"": 5, ""criminal"": 2}"
without interruption by the landlord,不受業主干擾,0,0,0,civil,0.7143,"{""civil"": 5, ""procedure"": 1, ""international"": 1}"
martial law,戒嚴令,0,0,0,criminal,0.7143,"{""criminal"": 5, ""international"": 2}"
rights-based mediation,兼顧各方權利的調解,0,0,0,procedure,0.5714,"{""procedure"": 4, ""international"": 2, ""criminal"": 1}"
negligent misrepresentation,疏忽的失實陳述,2,2,2,criminal,0.7143,"{""civil"": 2, ""criminal"": 5}"
subornation of perjury,唆使他人作偽證,3,0,0,criminal,0.5714,"{""criminal"": 4, ""civil"": 1, ""procedure"": 2}"
non-competition covenant,不競爭契諾,0,0,0,international,0.2857,"{""administrative"": 1, ""international"": 2, ""civil"": 1, ""labor_social"": 1, ""procedure"": 2}"
consular,職業領事官員,8,0,0,international,0.5714,"{""international"": 4, ""constitutional"": 1, ""labor_social"": 1, ""administrative"": 1}"
diplomatic,外交豁免權,8,1,1,international,0.7143,"{""international"": 5, ""constitutional"": 2}"
European Patent Organization,歐洲專利組織,0,0,0,civil,0.5714,"{""civil"": 4, ""procedure"": 1, ""constitutional"": 1, ""international"": 1}"
extradition,引渡至……的法律程序,6,0,0,criminal,0.8571,"{""criminal"": 6, ""international"": 1}"
International Bureau of Intellectual Property,知識產權國際局,0,0,0,civil,0.5714,"{""civil"": 4, ""international"": 2, ""procedure"": 1}"
State Intellectual Property Office,國家知識產權局,0,4,0,civil,0.5714,"{""civil"": 4, ""constitutional"": 1, ""procedure"": 1, ""administrative"": 1}"
United Kingdom Patent Office,聯合王國專利局,2,2,2,civil,0.7143,"{""civil"": 5, ""procedure"": 1, ""labor_social"": 1}"
Universal Declaration of Human Rights,《世界人權宣言》,0,0,0,constitutional,0.4286,"{""international"": 2, ""constitutional"": 3, ""civil"": 1, ""criminal"": 1}"
World Intellectual Property Organization,世界知識產權組織,1,2,1,civil,0.5714,"{""international"": 3, ""civil"": 4}"
multilateral,多邊協定,8,0,0,international,1.0,"{""international"": 7}"
sovereign,主權國政府,8,0,0,procedure,0.2857,"{""procedure"": 2, ""international"": 1, ""constitutional"": 2, ""criminal"": 1, ""administrative"": 1}"
stateless,無國籍人,8,1,1,constitutional,0.4286,"{""constitutional"": 3, ""international"": 1, ""labor_social"": 1, ""criminal"": 1, ""procedure"": 1}"
genocide,《防止及懲治危害種族罪公約》,5,0,0,criminal,0.5714,"{""international"": 2, ""criminal"": 4, ""civil"": 1}"
accession,加入書,3,0,0,administrative,0.4286,"{""labor_social"": 1, ""procedure"": 2, ""constitutional"": 1, ""administrative"": 3}"
accomplice,從犯證據,4,0,0,criminal,0.7143,"{""criminal"": 5, ""procedure"": 1, ""civil"": 1}"
accused,被控人……提出異議,8,0,0,criminal,0.8571,"{""criminal"": 6, ""procedure"": 1}"
acquittal,判予無罪的理由,8,0,0,criminal,0.7143,"{""criminal"": 5, ""procedure"": 2}"
admissibility,招認的可接納性,8,0,0,procedure,0.8571,"{""procedure"": 6, ""administrative"": 1}"
admissible,可接納,8,8,8,procedure,0.7143,"{""procedure"": 5, ""administrative"": 1, ""criminal"": 1}"
amendment,關鍵性的修改,8,0,0,constitutional,0.4286,"{""procedure"": 1, ""constitutional"": 3, ""criminal"": 2, ""civil"": 1}"
approbation,認可,1,8,1,procedure,0.5714,"{""administrative"": 2, ""constitutional"": 1, ""procedure"": 4}"
appurtenant,從屬,8,8,8,constitutional,0.4286,"{""constitutional"": 3, ""civil"": 1, ""international"": 1, ""administrative"": 1, ""labor_social"": 1}"
asylum,庇護條約,1,0,0,criminal,0.7143,"{""criminal"": 5, ""labor_social"": 1, ""civil"": 1}"
bailable offence,可保釋的罪行,1,1,1,criminal,1.0,"{""criminal"": 7}"
blackmail,勒索式的申索,4,0,0,criminal,0.8571,"{""labor_social"": 1, ""criminal"": 6}"
burglary,住宅爆竊案,5,0,0,criminal,1.0,"{""criminal"": 7}"
co-accused,同案被告,3,0,0,criminal,1.0,"{""criminal"": 7}"
Comprehensive Social Security Assistance Scheme,綜合社會保障援助計劃,2,2,2,labor_social,0.7143,"{""labor_social"": 5, ""constitutional"": 1, ""administrative"": 1}"
congress,國家級、地區級或市級國會,8,1,1,constitutional,0.7143,"{""international"": 2, ""constitutional"": 5}"
conspiracy,串謀敗壞公眾道德,8,0,0,criminal,0.5714,"{""procedure"": 3, ""criminal"": 4}"
constitute,是單一人,8,1,1,constitutional,0.2857,"{""constitutional"": 2, ""civil"": 1, ""international"": 1, ""administrative"": 2, ""criminal"": 1}"
contractually,明示及有合約責任按通知付還的定期資金,8,1,1,civil,0.4286,"{""civil"": 3, ""labor_social"": 2, ""criminal"": 2}"
Convention on Psychotropic Substances,精神藥物公約,3,5,3,international,0.7143,"{""international"": 5, ""constitutional"": 1, ""procedure"": 1}"
Convention on Temporary Admission,暫准進口公約,3,3,3,international,0.4286,"{""international"": 3, ""administrative"": 2, ""procedure"": 1, ""constitutional"": 1}"
conventional,常規,8,8,8,international,0.4286,"{""international"": 3, ""administrative"": 2, ""civil"": 1, ""procedure"": 1}"
Copyright Register,版權註冊紀錄冊,1,1,1,administrative,0.4286,"{""administrative"": 3, ""civil"": 3, ""procedure"": 1}"
co-surety,共同擔保人,2,2,2,civil,0.4286,"{""civil"": 3, ""international"": 2, ""procedure"": 1, ""labor_social"": 1}"
co-trustee,共同受託人,1,3,1,civil,0.7143,"{""civil"": 5, ""constitutional"": 2}"
covenantee,契諾受益人,4,4,4,civil,0.7143,"{""civil"": 5, ""criminal"": 1, ""constitutional"": 1}"
covenantor,契諾承諾人,6,7,6,civil,0.4286,"{""civil"": 3, ""constitutional"": 3, ""international"": 1}"
criminal law,普通刑事法,6,1,1,criminal,0.8571,"{""criminal"": 6, ""international"": 1}"
Deed of Mutual Covenant,公契,8,8,8,civil,0.5714,"{""civil"": 4, ""international"": 2, ""labor_social"": 1}"
distortion,扭曲,8,7,7,criminal,0.4286,"{""criminal"": 3, ""administrative"": 1, ""civil"": 2, ""procedure"": 1}"
executorship,放棄遺囑執行,2,1,1,civil,0.7143,"{""civil"": 5, ""labor_social"": 2}"
extortionate,敲詐性,2,2,2,criminal,1.0,"{""criminal"": 7}"
felony,重刑罪,2,3,2,criminal,1.0,"{""criminal"": 7}"
franchised,專利巴士,8,8,8,civil,0.7143,"{""civil"": 5, ""labor_social"": 1, ""constitutional"": 1}"
franchisee,獲授專營權者,6,3,3,civil,0.7143,"{""civil"": 5, ""labor_social"": 2}"
franchiser,專營權授予者,1,3,1,civil,0.5714,"{""civil"": 4, ""labor_social"": 3}"
Geneva Convention,日內瓦公約,2,3,2,international,0.7143,"{""international"": 5, ""constitutional"": 1, ""criminal"": 1}"
Geneva Conventions,日內瓦各項公約,0,0,0,international,0.7143,"{""international"": 5, ""constitutional"": 1, ""criminal"": 1}"
Genocide Convention,危害種族罪公約,0,1,0,international,0.5714,"{""international"": 4, ""constitutional"": 1, ""procedure"": 2}"
Government Laboratory,政府化驗所,5,5,5,constitutional,0.4286,"{""constitutional"": 3, ""administrative"": 1, ""labor_social"": 2, ""international"": 1}"
habeas corpus ad respondendum,解交被拘押者到庭答辯令狀,2,2,2,procedure,0.5714,"{""procedure"": 4, ""criminal"": 2, ""administrative"": 1}"
habeas corpus ad testificandum,解交被拘押者到庭作證令狀,2,2,2,criminal,0.5714,"{""criminal"": 4, ""procedure"": 3}"
Head of State,國家元首,2,2,2,constitutional,0.8571,"{""constitutional"": 6, ""international"": 1}"
imprisonment,串謀非法禁錮,8,0,0,criminal,0.8571,"{""criminal"": 6, ""civil"": 1}"
in the first instance,先行,8,8,8,procedure,0.4286,"{""procedure"": 3, ""administrative"": 1, ""criminal"": 2, ""civil"": 1}"
indictment,多條罪名的公訴書,8,0,0,criminal,0.8571,"{""criminal"": 6, ""civil"": 1}"
laboratory,檢驗所,8,8,8,labor_social,0.7143,"{""labor_social"": 5, ""procedure"": 1, ""administrative"": 1}"
labouring,損害防止條款,3,3,3,labor_social,0.7143,"{""labor_social"": 5, ""civil"": 2}"
Land Titles Indemnity Fund,土地業權彌償基金,5,5,5,civil,0.7143,"{""civil"": 5, ""labor_social"": 2}"
larceny,在普通法的盜竊罪,1,1,1,criminal,0.8571,"{""criminal"": 6, ""civil"": 1}"
legal custody,合法羈留,8,3,3,civil,0.4286,"{""civil"": 3, ""criminal"": 3, ""procedure"": 1}"
Minor Offences Report,輕微違紀行為報告,2,2,2,criminal,0.7143,"{""criminal"": 5, ""administrative"": 1, ""civil"": 1}"
mortgaged,已作按揭,8,6,6,civil,0.5714,"{""civil"": 4, ""labor_social"": 1, ""criminal"": 2}"
murder,慫使和促致謀殺,8,0,0,criminal,0.8571,"{""criminal"": 6, ""international"": 1}"
National People's Congress,全國人民代表大會代表,0,0,0,international,0.4286,"{""international"": 3, ""constitutional"": 3, ""labor_social"": 1}"
New York Convention,紐約公約,3,3,3,constitutional,0.5714,"{""international"": 2, ""constitutional"": 4, ""procedure"": 1}"
non-employer,非僱主受託人,5,5,5,labor_social,0.4286,"{""labor_social"": 3, ""international"": 3, ""administrative"": 1}"
parole,假釋許可,3,1,1,criminal,0.5714,"{""criminal"": 4, ""administrative"": 2, ""constitutional"": 1}"
patentability,可享專利性,7,7,7,civil,0.5714,"{""civil"": 4, ""procedure"": 2, ""administrative"": 1}"
patentable,可享專利,8,8,8,civil,0.2857,"{""civil"": 2, ""procedure"": 2, ""labor_social"": 1, ""constitutional"": 1, ""administrative"": 1}"
patentee,專利持有人,1,1,1,civil,0.5714,"{""civil"": 4, ""procedure"": 1, ""labor_social"": 2}"
People's Republic of China,中華人民共和國,0,8,0,international,0.4286,"{""international"": 3, ""labor_social"": 2, ""constitutional"": 2}"
probationary,試用條款,8,1,1,civil,0.2857,"{""administrative"": 1, ""civil"": 2, ""criminal"": 1, ""labor_social"": 2, ""constitutional"": 1}"
probationer,受感化者,8,8,8,criminal,0.2857,"{""criminal"": 2, ""civil"": 2, ""administrative"": 1, ""labor_social"": 2}"
probationership,見習課程,2,2,2,civil,0.4286,"{""civil"": 3, ""administrative"": 2, ""criminal"": 2}"
prosecution,舉證責任在於控方,8,0,0,criminal,1.0,"{""criminal"": 7}"
reconstitute,重組,1,8,1,administrative,0.4286,"{""procedure"": 2, ""constitutional"": 1, ""criminal"": 1, ""administrative"": 3}"
remand,還押看守,8,1,1,criminal,0.7143,"{""criminal"": 5, ""procedure"": 2}"
repledge,再質押,1,5,1,administrative,0.5714,"{""administrative"": 4, ""criminal"": 2, ""procedure"": 1}"
Residual Provident Fund Scheme,補遺公積金計劃,1,1,1,civil,0.5714,"{""labor_social"": 3, ""civil"": 4}"
Rhine Navigation Convention,萊茵河航行公約,0,0,0,international,0.7143,"{""international"": 5, ""constitutional"": 1, ""procedure"": 1}"
robbery,持械搶劫,6,0,0,criminal,0.8571,"{""criminal"": 6, ""labor_social"": 1}"
Rome Convention,羅馬公約,2,2,2,international,0.5714,"{""international"": 4, ""constitutional"": 1, ""procedure"": 1, ""civil"": 1}"
Senate,教務委員會,8,8,8,constitutional,0.7143,"{""constitutional"": 5, ""labor_social"": 1, ""procedure"": 1}"
Single Convention on Narcotic Drugs,麻醉品單一公約,3,3,3,international,0.8571,"{""international"": 6, ""constitutional"": 1}"
Social Security Allowance Scheme,公共福利金計劃,0,0,0,labor_social,0.4286,"{""labor_social"": 3, ""administrative"": 2, ""constitutional"": 2}"
solicitor-trustee,受託人律師,0,0,0,civil,0.8571,"{""civil"": 6, ""administrative"": 1}"
sub-mortgage,轉押,0,0,0,civil,0.7143,"{""civil"": 5, ""criminal"": 1, ""labor_social"": 1}"
Tenants Purchase Scheme,租者置其屋計劃,5,5,5,civil,0.8571,"{""civil"": 6, ""labor_social"": 1}"
